,性別,父牛,母の父,母の祖父,母の祖祖父,日令,体重,価格,年月日
5639,去勢,直太郎,華春福,金幸,神高福,284,324,504900,2022-09-09
5640,去勢,鉄晴幸,安福久,糸秀,福桜（宮）,272,333,874500,2022-09-09
5641,去勢,鉄晴幸,安福久,勝忠平,安平,261,300,864600,2022-09-09
5642,雌,鉄晴幸,芳之国,忠富士,百合茂,269,292,479600,2022-09-09
5643,去勢,白鵬紅葉,好平茂,平茂晴,安福久,271,328,694100,2022-09-09
5644,雌,白鵬紅葉,室太郎,安福久,勝忠平,277,267,447700,2022-09-09
5645,雌,白鵬紅葉,直太郎,福華１,福桜（宮）,265,266,400400,2022-09-09
5646,雌,白鵬紅葉,北乃大福,平茂晴,平茂勝,292,294,441100,2022-09-09
5647,去勢,美国桜,華春福,安福久,百合茂,292,347,731500,2022-09-09
5648,去勢,美国桜,華春福,神徳福,平茂勝,285,292,452100,2022-09-09
5649,去勢,美国桜,耕富士,安福久,福之国,285,357,721600,2022-09-09
5650,去勢,美国桜,勝三宝,芳之国,安茂勝,299,372,662200,2022-09-09
5651,雌,美国桜,勝忠平,安福久,忠富士,305,244,333300,2022-09-09
5652,去勢,美国桜,勝忠平,安福久,忠富士,298,335,702900,2022-09-09
5653,去勢,美国桜,勝忠平,安福久,平茂勝,289,330,643500,2022-09-09
5654,去勢,美国桜,美津照重,安福久,金幸,292,333,712800,2022-09-09
5655,去勢,美国桜,百合茂,安福１６５の９,糸福（大）,278,331,638000,2022-09-09
5656,雌,美国桜,百合茂,安福久,第１花国,293,251,482900,2022-09-09
5657,去勢,美国白清,安福久,平茂勝,安平,300,303,506000,2022-09-09
5658,去勢,美国白清,安茂勝,福谷福,福茂,261,286,451000,2022-09-09
5659,去勢,美国白清,華春福,安福久,金幸,298,352,717200,2022-09-09
5660,去勢,美国白清,耕富士,安福久,勝忠平,291,273,535700,2022-09-09
5661,去勢,美国白清,若百合,安福久,平茂勝,284,246,399300,2022-09-09
5662,去勢,美国白清,勝忠平,安糸福,平茂勝,291,278,500500,2022-09-09
5663,去勢,美国白清,勝忠平,北国７の８,糸秀,302,331,660000,2022-09-09
5664,去勢,美国白清,美国桜,百合茂,安平,302,247,331100,2022-09-09
5665,雌,美国白清,美津照重,安福久,平茂勝,289,289,627000,2022-09-09
5666,去勢,美国白清,美津照重,百合茂,安福久,282,312,716100,2022-09-09
5667,雌,美国白清,美穂国,忠富士,福桜（宮）,291,267,294800,2022-09-09
5668,雌,美国白清,茂重安福（岐）,平茂勝,糸治,308,243,232100,2022-09-09
5669,去勢,美津金幸,花美千,百合茂,安平,281,285,474100,2022-09-09
5670,雌,美津金幸,勝忠平,第１花国,紋次郎,306,273,268400,2022-09-09
5671,雌,美津金幸,百合白清２,隆之国,安福久,296,298,619300,2022-09-09
5672,去勢,美津金幸,百合茂,安茂勝,糸秀,292,337,595100,2022-09-09
5673,去勢,美津金幸,百合茂,福桜（宮）,安平,260,313,552200,2022-09-09
5674,雌,美津照重,安福久,２１世紀,美津福,312,267,423500,2022-09-09
5675,雌,美津照重,安福久,安平照,菊谷,303,286,578600,2022-09-09
5676,去勢,美津照重,安福久,勝忠平,安平照,306,295,625900,2022-09-09
5677,去勢,美津照重,安福久,忠茂勝,勝忠平,288,298,621500,2022-09-09
5678,雌,美津照重,安福久,百合茂,安福１６５の９,276,320,867900,2022-09-09
5679,去勢,美津照重,安福久,隆之国,忠富士,295,313,673200,2022-09-09
5680,雌,美津照重,華春福,勝忠平,安福久,283,303,621500,2022-09-09
5681,去勢,美津照重,紀多福,美国桜,勝忠平,289,281,507100,2022-09-09
5682,雌,美津照重,幸紀雄,平茂晴,平茂勝,292,278,441100,2022-09-09
5683,去勢,美津照重,勝忠平,安福久,平茂勝,278,316,684200,2022-09-09
5684,雌,美津照重,勝忠平,平茂晴,平茂勝,299,293,601700,2022-09-09
5685,去勢,美津照重,美国桜,安茂勝,美津福,295,295,462000,2022-09-09
5686,去勢,美津照重,美国桜,百合茂,北仁,299,298,547800,2022-09-09
5687,雌,美津照重,百合茂,安福久,第１花国,298,307,625900,2022-09-09
5688,雌,美津照重,百合茂,安平,平茂勝,300,244,339900,2022-09-09
5689,雌,美津照重,平茂晴,安福久,平茂勝,338,328,530200,2022-09-09
5690,去勢,美津照重,茂洋,安福久,平茂勝,297,306,601700,2022-09-09
5691,去勢,美津梅,花清国,白清８５の３,平茂勝,280,316,541200,2022-09-09
5692,去勢,美津梅,白鵬８５の３,百合茂,福栄,263,302,625900,2022-09-09
5693,雌,美津梅,百合白清２,勝安波,百合茂,271,257,331100,2022-09-09
5694,去勢,美津百合,安福久,勝忠平,上福,275,292,647900,2022-09-09
5695,雌,美津福重,安福久,安平,福之国,290,302,519200,2022-09-09
5696,雌,美津福重,耕富士,美穂国,勝平正,285,234,436700,2022-09-09
5697,雌,美津福重,秀菊安,忠富士,福之国,285,280,500500,2022-09-09
5698,去勢,美津福重,勝忠平,神高福,第２０平茂,291,321,605000,2022-09-09
5699,去勢,美津福重,第２安平,安茂勝,福桜（宮）,286,318,507100,2022-09-09
5700,去勢,美津福重,美国桜,幸紀雄,福之国,285,294,511500,2022-09-09
5701,雌,美津福重,百合勝安,安福久,平茂勝,294,195,162800,2022-09-09
5702,雌,美津福重,百合勝安,勝忠平,平茂勝,279,259,316800,2022-09-09
5703,去勢,美津福重,百合勝安,勝忠平,平茂勝,279,326,542300,2022-09-09
5704,雌,美津福重,平茂勝,安福久,百合茂,286,284,389400,2022-09-09
5705,雌,美津福重,芳之国,華春福,百合茂,301,295,503800,2022-09-09
5706,去勢,美津福重,諒太郎,安福久,平茂勝,292,286,563200,2022-09-09
5707,去勢,百合勝安,安福久,第１花国,平茂勝,284,349,979000,2022-09-09
5708,去勢,百合勝安,勝忠平,平茂勝,北国７の８,305,406,655600,2022-09-09
5709,去勢,百合白清２,安福久,金幸,神高福,295,287,502700,2022-09-09
5710,去勢,百合白清２,安福久,勝忠平,糸福（大）,310,376,957000,2022-09-09
5711,雌,百合白清２,安福久,百合茂,美津福,299,309,693000,2022-09-09
5712,雌,百合白清２,華春福,美国桜,忠茂勝,291,359,679800,2022-09-09
5713,去勢,百合白清２,華春福,平茂勝,神高福,294,352,694100,2022-09-09
5714,去勢,百合白清２,勝忠平,安福久,平茂勝,311,359,783200,2022-09-09
5715,雌,百合白清２,隆之国,美国桜,華春福,281,322,605000,2022-09-09
5716,去勢,百合福久,安福久,勝忠平,菊安舞鶴,306,306,660000,2022-09-09
5717,去勢,百合福久,金太郎３,美国桜,忠富士,264,363,1097800,2022-09-09
5718,雌,百合福久,白鵬８５の３,白清８５の３,勝忠平,284,288,742500,2022-09-09
5719,去勢,百合未来,安福久,勝忠平,安平,272,310,741400,2022-09-09
5720,雌,百合未来,華春福,安糸福,平茂勝,267,350,602800,2022-09-09
5721,雌,百合未来,華春福,安福久,金幸,293,242,386100,2022-09-09
5722,去勢,百合未来,金太郎３,美津照重,安福久,285,287,655600,2022-09-09
5723,去勢,百合未来,耕富士,安平,隆美,278,324,704000,2022-09-09
5724,雌,百合未来,秀菊安,忠富士,福桜（宮）,252,256,469700,2022-09-09
5725,雌,百合未来,美津照重,隆之国,安福久,297,291,597300,2022-09-09
5726,去勢,百合未来,平茂晴,勝忠平,安平,304,309,530200,2022-09-09
5727,去勢,百合未来,平茂晴,茂洋,勝忠平,308,368,717200,2022-09-09
5728,雌,百合茂,安福久,忠富士,福之国,294,265,441100,2022-09-09
5729,去勢,百合茂,安福久,平茂勝,安福１６５の９,293,314,594000,2022-09-09
5730,雌,福華１,安福久,勝忠平,安平,301,287,444400,2022-09-09
5731,雌,福晴茂,幸紀雄,安福久,第１花国,285,331,636900,2022-09-09
5732,去勢,福増,華春福,金幸,平茂勝,292,348,663300,2022-09-09
5733,雌,福増,金太郎３,安福久,百合茂,288,295,552200,2022-09-09
5734,去勢,福増,百合茂,安福久,平茂勝,291,332,712800,2022-09-09
5735,雌,福之姫,安福久,勝忠平,安平,293,288,579700,2022-09-09
5736,去勢,福之姫,安福久,勝忠平,安平,280,315,757900,2022-09-09
5737,去勢,福之姫,安福久,勝忠平,菊安舞鶴,297,368,848100,2022-09-09
5738,去勢,福之姫,安福久,第１花国,安平,298,335,907500,2022-09-09
5739,去勢,福之姫,安福久,忠富士,安平,282,330,885500,2022-09-09
5740,去勢,福之姫,安福久,忠富士,上茂福,303,322,696300,2022-09-09
5741,去勢,福之姫,安福久,忠富士,福桜（宮）,294,335,823900,2022-09-09
5742,去勢,福之姫,安福久,百合茂,平茂勝,299,337,887700,2022-09-09
5743,去勢,福之姫,安福久,百合茂,北国７の８,270,359,1049400,2022-09-09
5744,去勢,福之姫,安福久,福桜（宮）,福之国,290,353,1046100,2022-09-09
5745,雌,福之姫,安福久,平茂勝,金幸,262,344,741400,2022-09-09
5746,雌,福之姫,安福久,平茂晴,安福１６５の９,279,273,525800,2022-09-09
5747,去勢,福之姫,安福久,平茂晴,平茂勝,304,359,998800,2022-09-09
5748,去勢,福之姫,安福久,平茂晴,平茂勝,291,353,1005400,2022-09-09
5749,去勢,福之姫,安福久,茂重波,平茂勝,304,290,554400,2022-09-09
5750,去勢,福之姫,華春福,安糸福,金幸,276,347,685300,2022-09-09
5751,雌,福之姫,華春福,安福久,勝忠平,277,276,609400,2022-09-09
5752,去勢,福之姫,華春福,安福久,勝忠平,297,331,818400,2022-09-09
5753,去勢,福之姫,華春福,金幸,安福１６５の９,279,335,778800,2022-09-09
5754,雌,福之姫,華春福,金幸,平茂勝,300,263,542300,2022-09-09
5755,去勢,福之姫,華春福,勝忠平,安福久,284,262,442200,2022-09-09
5756,去勢,福之姫,金太郎３,美国桜,忠富士,265,352,722700,2022-09-09
5757,去勢,福之姫,金太郎３,平茂晴,安福久,295,312,717200,2022-09-09
5758,去勢,福之姫,金太郎３,隆之国,安福久,282,350,756800,2022-09-09
5759,去勢,福之姫,光平照,百合茂,福之国,306,329,723800,2022-09-09
5760,去勢,福之姫,幸紀雄,安福久,平茂勝,293,285,508200,2022-09-09
5761,去勢,福之姫,幸紀雄,安福久,平茂勝,310,319,743600,2022-09-09
5762,去勢,福之姫,幸紀雄,忠富士,安平,293,351,828300,2022-09-09
5763,去勢,福之姫,幸紀雄,隆之国,安福久,282,331,884400,2022-09-09
5764,去勢,福之姫,耕富士,安福久,百合茂,297,333,882200,2022-09-09
5765,去勢,福之姫,若百合,安福久,忠富士,284,373,1027400,2022-09-09
5766,去勢,福之姫,若百合,安福久,忠富士,280,352,1027400,2022-09-09
5767,雌,福之姫,勝忠平,安福久,美穂国,271,221,607200,2022-09-09
5768,去勢,福之姫,勝忠平,安福久,平茂勝,294,333,729300,2022-09-09
5769,去勢,福之姫,勝忠平,平茂晴,平茂勝,291,279,499400,2022-09-09
5770,去勢,福之姫,勝忠平,茂洋,平茂勝,276,284,526900,2022-09-09
5771,去勢,福之姫,忠高盛,日向国,福桜（宮）,303,288,489500,2022-09-09
5772,雌,福之姫,忠富士,福桜（宮）,安平,268,286,551100,2022-09-09
5773,雌,福之姫,忠富士,福桜（宮）,安平,287,300,581900,2022-09-09
5774,雌,福之姫,美国桜,勝忠平,美津福,304,328,739200,2022-09-09
5775,去勢,福之姫,美国桜,白鵬８５の３,金幸,273,301,694100,2022-09-09
5776,去勢,福之姫,美国桜,百合茂,福谷福,289,339,873400,2022-09-09
5777,雌,福之姫,美国桜,平茂勝,安平,288,283,619300,2022-09-09
5778,雌,福之姫,美津照重,安福久,忠富士,283,339,765600,2022-09-09
5779,去勢,福之姫,美津照重,勝忠平,紋次郎,305,272,554400,2022-09-09
5780,去勢,福之姫,美津照重,忠富士,安福久,283,328,887700,2022-09-09
5781,去勢,福之姫,美津照重,茂勝栄,糸福（大）,253,261,485100,2022-09-09
5782,雌,福之姫,美穂国,安福久,忠富士,285,292,652300,2022-09-09
5783,去勢,福之姫,百合白清２,安福久,金幸,290,304,739200,2022-09-09
5784,去勢,福之姫,百合白清２,華春福,安福久,288,390,1078000,2022-09-09
5785,去勢,福之姫,百合白清２,美国桜,平茂勝,285,274,529100,2022-09-09
5786,去勢,福之姫,百合茂,安福久,平茂勝,301,401,1217700,2022-09-09
5787,去勢,福之姫,百合茂,金幸,神高福,290,343,739200,2022-09-09
5788,雌,福之姫,百合茂,第１花国,平茂勝,270,282,507100,2022-09-09
5789,去勢,福之姫,百合茂,福栄,藤平茂,283,258,479600,2022-09-09
5790,雌,福之姫,福増,美津百合,平茂幸,276,265,447700,2022-09-09
5791,去勢,福之姫,平茂幸,百合茂,隆桜,299,306,664400,2022-09-09
5792,雌,福之姫,平茂晴,安平,糸秀,307,353,671000,2022-09-09
5793,雌,福之姫,諒太郎,美国桜,美津照重,285,273,642400,2022-09-09
5794,去勢,福之姫,諒太郎,美国桜,美津照重,279,388,893200,2022-09-09
5795,去勢,福之姫,諒太郎,美国桜,美津照重,277,391,1082400,2022-09-09
5796,去勢,福之姫,諒太郎,美津照重,平茂幸,293,352,663300,2022-09-09
5797,雌,福之姫,諒太郎,百合茂,安福久,305,267,562100,2022-09-09
5798,去勢,平白鵬,百合茂,安福久,勝忠平,303,295,616000,2022-09-09
5799,去勢,平白鵬,百合茂,安福久,平茂勝,301,284,513700,2022-09-09
5800,雌,平茂勝,安平,糸秀,誠隆,296,293,295900,2022-09-09
5801,去勢,平茂勝,安平,糸秀,誠隆,283,285,342100,2022-09-09
5802,去勢,平茂勝,美国桜,百合茂,安福久,286,290,424600,2022-09-09
5803,雌,平茂勝,隆之国,安福久,福桜（宮）,277,308,408100,2022-09-09
5804,去勢,平茂晴,安福久,百合茂,美津福,269,275,482900,2022-09-09
5805,去勢,芳之国,百合白清２,安福久,平茂勝,274,291,589600,2022-09-09
5806,去勢,芳之国,満天白清,幸紀雄,勝忠平,296,310,500500,2022-09-09
5807,去勢,豊奨菊,幸紀雄,美津照重,安福久,288,336,651200,2022-09-09
5808,去勢,茂勝朗,安福久,平茂勝,安平,288,370,815100,2022-09-09
5809,去勢,茂勝朗,金太郎３,安福久,百合茂,283,316,688600,2022-09-09
5810,去勢,茂勝朗,美国桜,安福久,百合茂,269,394,969100,2022-09-09
5811,雌,茂勝朗,百合茂,安福久,第１花国,303,339,570900,2022-09-09
5812,雌,茂晴花,安亀忠,勝忠平,安糸福,289,281,364100,2022-09-09
5813,去勢,茂晴花,安福久,平茂勝,紋次郎,296,326,702900,2022-09-09
5814,雌,茂晴花,安平,平茂勝,隆桜,294,283,383900,2022-09-09
5815,雌,茂晴花,安茂勝,糸福（大）,安平,275,268,333300,2022-09-09
5816,雌,茂晴花,好平茂,光平照,忠富士,283,303,427900,2022-09-09
5817,去勢,茂晴花,好平茂,百合茂,平茂勝,306,322,605000,2022-09-09
5818,雌,茂晴花,幸紀雄,平茂晴,安平照,290,249,364100,2022-09-09
5819,去勢,茂晴花,幸紀雄,隆之国,美穂国,294,266,474100,2022-09-09
5820,雌,茂晴花,耕富士,安福久,第１花国,296,300,524700,2022-09-09
5821,去勢,茂晴花,勝平正,安平,糸秀,299,341,633600,2022-09-09
5822,去勢,茂晴花,美国桜,幸紀雄,安福久,317,330,599500,2022-09-09
5823,去勢,茂晴花,美津照重,光平照,勝忠平,301,337,611600,2022-09-09
5824,去勢,茂晴花,美津照重,勝平正,福之国,278,306,652300,2022-09-09
5825,去勢,茂晴花,美津照重,忠富士,福桜（宮）,279,290,602800,2022-09-09
5826,雌,茂晴花,美津百合,安福勝,安茂勝,280,286,342100,2022-09-09
5827,雌,茂晴花,百合久,平茂晴,安福久,319,260,262900,2022-09-09
5828,去勢,茂晴花,百合白清２,安福久,平茂勝,304,260,501600,2022-09-09
5829,去勢,茂晴花,百合茂,安福久,勝忠平,298,278,434500,2022-09-09
5830,去勢,茂晴花,百合茂,安福久,平茂勝,293,340,939400,2022-09-09
5831,雌,茂晴花,百合茂,安福久,北国７の８,283,277,386100,2022-09-09
5832,雌,茂晴花,百合茂,菊安舞鶴,北国７の８,277,262,293700,2022-09-09
5833,雌,茂晴花,福之姫,安福久,百合茂,282,265,462000,2022-09-09
5834,雌,茂晴花,平茂勝,安平,菊安（宮）,263,235,298100,2022-09-09
5835,雌,茂晴花,諒太郎,安福久,勝忠平,305,304,510400,2022-09-09
5836,去勢,夜桜,金太郎３,勝忠平,安福久,277,334,696300,2022-09-09
5837,去勢,葉山桜,幸紀雄,安福久,平茂勝,283,312,684200,2022-09-09
5838,雌,葉山桜,百合茂,照美,紋次郎,289,270,343200,2022-09-09
5839,雌,隆安国,紀多福,美津照重,安福久,317,269,485100,2022-09-09
5840,去勢,隆安国,秀幸福,喜亀忠,安福久,285,255,311300,2022-09-09
5841,去勢,隆安国,勝忠平,安福久,忠富士,285,363,696300,2022-09-09
5842,去勢,隆安国,福之姫,百合茂,第１花国,300,286,598400,2022-09-09
5843,去勢,隆之国,安福久,平茂勝,安福１６５の９,310,340,882200,2022-09-09
5844,雌,隆之国,幸紀雄,安福久,福桜（宮）,303,257,324500,2022-09-09
5845,雌,隆之国,百合白清２,勝忠平,金鶴,232,226,338800,2022-09-09
5846,去勢,隆之国,百合茂,安福久,勝忠平,289,348,1005400,2022-09-09
5847,去勢,隆之国,百合茂,安福久,平茂晴,285,253,320100,2022-09-09
5848,去勢,諒太郎,安福久,金幸,安平,323,285,420200,2022-09-09
5849,雌,諒太郎,安福久,勝忠平,安平,286,306,748000,2022-09-09
5850,去勢,諒太郎,安福久,勝忠平,紋次郎,285,269,358600,2022-09-09
5851,雌,諒太郎,安福久,百合茂,糸秀,280,297,734800,2022-09-09
5852,雌,諒太郎,安福久,平茂勝,糸福（大）,284,314,770000,2022-09-09
5853,去勢,諒太郎,華春福,安福久,百合茂,297,337,716100,2022-09-09
5854,雌,諒太郎,喜亀忠,安福久,金幸,294,321,629200,2022-09-09
5855,雌,諒太郎,光平照,百合茂,糸秀,281,268,550000,2022-09-09
5856,雌,諒太郎,幸紀雄,隆之国,安福久,279,316,661100,2022-09-09
5857,去勢,諒太郎,勝平正,美穂国,福之国,285,349,608300,2022-09-09
5858,去勢,諒太郎,美国桜,勝忠平,安平,271,358,722700,2022-09-09
5859,去勢,諒太郎,美国桜,勝忠平,糸福（大）,277,326,664400,2022-09-09
5860,去勢,諒太郎,百合茂,安糸福,平茂勝,282,343,702900,2022-09-09
5861,去勢,諒太郎,百合茂,糸福（大）,紋次郎,286,314,601700,2022-09-09
5862,去勢,諒太郎,平茂晴,安福久,金幸,267,329,645700,2022-09-09
5863,去勢,諒太郎,北国７の８,糸福（大）,福鶴５７,258,289,445500,2022-09-09
5864,去勢,鈴音,安福久,第１花国,平茂勝,303,330,826100,2022-09-09
5865,去勢,鈴音,安福重,北国７の８,平茂勝,303,344,658900,2022-09-09
5866,去勢,鈴音,菊谷,平茂勝,金幸,303,323,487300,2022-09-09
5867,去勢,和華桜,美国桜,勝忠平,安福１６５の９,300,262,311300,2022-09-09
5868,雌,愛之国,安糸福,金幸,平茂勝,297,270,452100,2022-10-06
5869,去勢,愛之国,安福久,金幸,平茂勝,263,295,734800,2022-10-06
5870,雌,愛之国,勝茂久,百合茂,福之国,284,263,473000,2022-10-06
5871,去勢,愛之国,百合茂,安福久,平茂勝,279,273,529100,2022-10-06
5872,雌,愛之国,福之姫,百合茂,安糸福,291,308,719400,2022-10-06
5873,雌,安亀忠,安福久,耕富士,福之国,292,260,427900,2022-10-06
5874,去勢,安亀忠,安福久,第１花国,安平,281,321,933900,2022-10-06
5875,雌,安亀忠,安福久,百合茂,福之国,271,294,623700,2022-10-06
5876,去勢,安亀忠,安福久,平茂勝,安平,272,268,629200,2022-10-06
5877,去勢,安亀忠,安福久,平茂勝,安平,289,362,1028500,2022-10-06
5878,去勢,安亀忠,幸紀雄,安福久,勝忠平,285,289,580800,2022-10-06
5879,去勢,安亀忠,幸紀雄,安福久,勝忠平,296,313,719400,2022-10-06
5880,去勢,安亀忠,幸紀雄,勝忠平,糸福（大）,281,333,739200,2022-10-06
5881,去勢,安亀忠,勝忠平,平茂勝,第５隼福,285,331,630300,2022-10-06
5882,雌,安亀忠,第１花国,平茂勝,美津福,261,257,347600,2022-10-06
5883,雌,安亀忠,直太郎,平茂晴,平茂勝,251,324,548900,2022-10-06
5884,雌,安亀忠,美津照重,安福久,美穂国,282,317,676500,2022-10-06
5885,去勢,安亀忠,美津照重,平茂勝,安平,275,284,424600,2022-10-06
5886,去勢,安亀忠,美津照重,隆之国,安糸福,273,352,763400,2022-10-06
5887,去勢,安亀忠,美津照重,隆之国,平茂晴,271,339,634700,2022-10-06
5888,雌,安亀忠,百合久,平茂晴,福之国,270,281,588500,2022-10-06
5889,雌,安亀忠,百合白清２,隆之国,安福久,289,273,559900,2022-10-06
5890,雌,安亀忠,百合茂,安福久,勝忠平,272,294,606100,2022-10-06
5891,去勢,安亀忠,百合茂,安福久,勝忠平,275,368,1050500,2022-10-06
5892,去勢,安亀忠,百合茂,安福久,第１花国,306,275,309100,2022-10-06
5893,雌,安亀忠,芳之国,安福久,平茂勝,279,258,513700,2022-10-06
5894,去勢,安亀忠,隆之国,安福久,勝忠平,287,310,665500,2022-10-06
5895,去勢,安福久,耕富士,福之国,安平,294,290,445500,2022-10-06
5896,雌,安福久,耕富士,福之国,忠富士,276,237,1043900,2022-10-06
5897,去勢,安福久,百合茂,福之国,安平,241,255,392700,2022-10-06
5898,去勢,夏百合,花乃国,平茂晴,糸福（鹿）,289,297,584100,2022-10-06
5899,去勢,夏百合,花之国,福桜（宮）,安平,287,312,548900,2022-10-06
5900,雌,夏百合,華春福,安福久,平茂勝,290,293,608300,2022-10-06
5901,雌,夏百合,勝忠平,安福久,平茂勝,281,260,573100,2022-10-06
5902,雌,夏百合,勝忠平,百合茂,安糸福,290,331,705100,2022-10-06
5903,雌,夏百合,直太郎,安福久,平茂勝,283,308,724900,2022-10-06
5904,去勢,夏百合,隆之国,安福久,平茂勝,304,270,532400,2022-10-06
5905,去勢,花国白清,安福久,勝忠平,百合茂,259,272,588500,2022-10-06
5906,雌,華勝栄,隆之国,百合茂,安糸福,293,341,584100,2022-10-06
5907,去勢,関百合,安福久,第１花国,平茂勝,292,308,723800,2022-10-06
5908,雌,関平照,愛之国,福華１,安福久,278,300,600600,2022-10-06
5909,去勢,関平照,安福久,平茂勝,神高福,293,349,712800,2022-10-06
5910,去勢,関平照,安茂勝,安平,隆桜,322,324,400400,2022-10-06
5911,去勢,関平照,幸紀雄,安福久,平茂勝,307,352,675400,2022-10-06
5912,去勢,関平照,幸紀雄,安福久,平茂勝,304,320,732600,2022-10-06
5913,去勢,関平照,幸紀雄,華春福,勝忠平,275,321,685300,2022-10-06
5914,去勢,関平照,幸紀雄,福栄,北国７の８,269,278,556600,2022-10-06
5915,去勢,関平照,幸紀雄,隆之国,百合茂,293,301,489500,2022-10-06
5916,雌,関平照,若百合,安福久,平茂勝,301,272,506000,2022-10-06
5917,去勢,関平照,若百合,安福久,平茂勝,287,298,590700,2022-10-06
5918,去勢,関平照,若百合,勝忠平,紋次郎,268,336,653400,2022-10-06
5919,雌,関平照,若百合,隆之国,安福久,286,246,429000,2022-10-06
5920,雌,関平照,秀幸福,華春福,安福久,278,289,546700,2022-10-06
5921,雌,関平照,勝忠平,安福久,百合茂,269,252,500500,2022-10-06
5922,雌,関平照,勝忠平,安福久,平茂勝,281,252,392700,2022-10-06
5923,去勢,関平照,勝忠平,平茂晴,安福１６５の９,285,339,557700,2022-10-06
5924,雌,関平照,第２勝王,光平照,忠富士,283,289,491700,2022-10-06
5925,去勢,関平照,美国桜,幸紀雄,安福久,290,282,266200,2022-10-06
5926,雌,関平照,美国桜,勝忠平,安福久,263,265,614900,2022-10-06
5927,雌,関平照,美国桜,美津照重,百合茂,288,253,389400,2022-10-06
5928,去勢,関平照,美国桜,百合茂,安福久,278,355,839300,2022-10-06
5929,去勢,関平照,美国桜,百合茂,安平,286,286,548900,2022-10-06
5930,雌,関平照,美国桜,平茂勝,糸福（大）,271,229,405900,2022-10-06
5931,雌,関平照,百合茂,安糸福,金幸,284,293,556600,2022-10-06
5932,雌,関平照,百合茂,安福久,安平,309,281,489500,2022-10-06
5933,去勢,関平照,百合茂,安福久,勝忠平,285,350,817300,2022-10-06
5934,雌,関平照,百合茂,安福久,平茂勝,262,306,575300,2022-10-06
5935,雌,関平照,百合茂,安福久,平茂勝,285,225,370700,2022-10-06
5936,去勢,関平照,百合茂,安福久,平茂勝,288,336,738100,2022-10-06
5937,去勢,関平照,百合茂,安福久,北国７の８,262,322,686400,2022-10-06
5938,去勢,関平照,福華１,北福波,勝忠平,279,348,661100,2022-10-06
5939,去勢,関平照,福増,芳之国,安茂勝,303,345,632500,2022-10-06
5940,雌,関平照,福之姫,美津照重,百合茂,310,261,224400,2022-10-06
5941,去勢,関平照,隆安国,忠富士,安福久,284,283,553300,2022-10-06
5942,雌,関平照,諒太郎,百合茂,安福久,277,212,300300,2022-10-06
5943,雌,喜勝華,勝安竜,第１花国,菊谷,319,358,236500,2022-10-06
5944,去勢,紀多福,安糸福,平茂勝,安福（岐）,270,345,596200,2022-10-06
5945,去勢,紀多福,安福久,金幸,勝忠平,290,390,886600,2022-10-06
5946,雌,紀多福,安福久,寿恵福,福桜（宮）,293,265,437800,2022-10-06
5947,去勢,紀多福,安福久,勝忠平,安平,292,350,887700,2022-10-06
5948,雌,紀多福,安福久,勝忠平,福栄,305,298,620400,2022-10-06
5949,去勢,紀多福,安福久,忠富士,安平,276,324,848100,2022-10-06
5950,去勢,紀多福,安福久,忠富士,安平,290,334,798600,2022-10-06
5951,雌,紀多福,安福久,百合茂,金幸,286,312,638000,2022-10-06
5952,去勢,紀多福,安福久,平茂勝,安平,305,376,867900,2022-10-06
5953,去勢,紀多福,安福久,平茂勝,安平,272,337,789800,2022-10-06
5954,雌,紀多福,安福久,平茂勝,安平,291,288,718300,2022-10-06
5955,去勢,紀多福,安福久,平茂晴,福之国,289,330,702900,2022-10-06
5956,去勢,紀多福,華春福,百合茂,金幸,297,393,749100,2022-10-06
5957,去勢,紀多福,幸紀雄,安福久,勝忠平,281,314,712800,2022-10-06
5958,去勢,紀多福,耕富士,安福久,福之国,300,315,652300,2022-10-06
5959,去勢,紀多福,美国桜,華春福,百合茂,284,328,880000,2022-10-06
5960,雌,紀多福,美津照重,安福久,勝忠平,296,252,512600,2022-10-06
5961,雌,紀多福,美津照重,百合茂,糸福（大）,274,246,330000,2022-10-06
5962,去勢,紀多福,美穂国,忠富士,福桜（宮）,298,337,654500,2022-10-06
5963,去勢,紀多福,百合白清２,安福久,平茂勝,292,408,765600,2022-10-06
5964,去勢,紀多福,百合茂,安福１６５の９,平茂勝,285,298,627000,2022-10-06
5965,雌,紀多福,百合茂,安福久,糸福（大）,290,247,458700,2022-10-06
5966,去勢,紀多福,百合茂,茂勝,隆桜,309,287,385000,2022-10-06
5967,去勢,紀多福,平茂晴,勝忠平,安福久,307,373,727100,2022-10-06
5968,去勢,紀多福,隆之国,百合白清２,勝忠平,298,325,738100,2022-10-06
5969,去勢,紀多福,隆之国,百合茂,平茂晴,283,295,633600,2022-10-06
5970,去勢,貴隼桜,華春福,安福久,平茂勝,264,329,767800,2022-10-06
5971,去勢,貴隼桜,百合茂,安糸福,平茂勝,283,289,260700,2022-10-06
5972,去勢,貴隼桜,福之姫,勝忠平,安平,273,261,556600,2022-10-06
5973,去勢,貴隼桜,芳之国,美津照重,勝忠平,307,270,438900,2022-10-06
5974,去勢,菊福秀,菊福秀,平茂晴,白清８５の３,267,263,385000,2022-10-06
5975,雌,吉重７５,安福久,平茂勝,安平,288,200,305800,2022-10-06
5976,去勢,吉重７５,実有貴,隆之国,紋次郎,293,282,498300,2022-10-06
5977,雌,吉重７５,勝忠平,平茂晴,安福１６５の９,288,291,564300,2022-10-06
